id,url
Lv8KbzbifrcAAAFMpVRRksIw,https://fr.wikipedia.org/wiki/Restauration_(histoire_de_France)
Ab0Kbzbix64AAAFMI2sfTp8i,https://fr.wikipedia.org/wiki/Deuxi%C3%A8me_R%C3%A9publique_(France)
raoKbzbiapMAAAFMGp8fTooD,https://fr.wikipedia.org/wiki/R%C3%A9gime_de_Vichy
0ygKbzbiweYAAAFMYnzx3YCG,https://fr.wikipedia.org/wiki/Quatri%C3%A8me_R%C3%A9publique
s0sKbzbiUNIAAAFMl0IfTouR,https://fr.wikipedia.org/wiki/Cinqui%C3%A8me_R%C3%A9publique
pUEKbzbiA9kAAAFMXxYfTop1,https://fr.wikipedia.org/wiki/Guernesey
r_cKbzbiF9cAAAFMDjpY_tRK,https://fr.wikipedia.org/wiki/Afrique_orientale_britannique
c5EKbzbiJMcAAAFMrtBY_ti0,https://fr.wikipedia.org/wiki/Royaume_de_J%C3%A9rusalem
p4sKbzbiqgsAAAFMCS9Rkq7w,https://fr.wikipedia.org/wiki/Royaume_de_Yougoslavie
5T8KbzbicYIAAAFMts0fTpUY,https://fr.wikipedia.org/wiki/Empire_du_Br%C3%A9sil
Uk4Kbzbi7MIAAAFMNKhRkrTP,https://fr.wikipedia.org/wiki/Jordanie
Lc0KbzbivwQAAAFMKE0fToNj,https://fr.wikipedia.org/wiki/Union_africaine
MzwKbzbiJ30AAAFMna1Y_tNZ,https://fr.wikipedia.org/wiki/Royaume_d%27Albanie_(1939-1944)
B6oKbzbi6WcAAAFMlGcfToYE,https://fr.wikipedia.org/wiki/Albanie
6.8KbzbiDNAAAAFM0okVZuvv,https://fr.wikipedia.org/wiki/Compagnie_anglaise_des_Indes_orientales
NZUKbzbi8d8AAAFMtyYfToVC,https://fr.wikipedia.org/wiki/Chypre_(pays)
dAUKbzbie2YAAAFMKj0fTpjh,https://fr.wikipedia.org/wiki/Royaume_du_Congr%C3%A8s
XMcKbzbiAvQAAAFMxLZY_tiT,https://fr.wikipedia.org/wiki/Royaume_de_Mac%C3%A9doine
eakKbzbiDvQAAAFMwjtRkqHe,https://fr.wikipedia.org/wiki/S%C3%A9leucides
v3UKbzbisAcAAAFNt1lXxjt9,https://fr.wikipedia.org/wiki/Royaume_gr%C3%A9co-bactrien
Dx4KbzbiA58AAAFMgMsfTpOq,https://fr.wikipedia.org/wiki/R%C3%A9publique_des_Deux_Nations
U20KbzbidcEAAAFMbOHx3YDf,https://fr.wikipedia.org/wiki/Royaume_de_Prusse
jsgKbzbiTGcAAAFMc5gfTpil,https://fr.wikipedia.org/wiki/Royaume_de_Pologne_(1385-1569)
WREKbzbi9bcAAAFMM6AfTob9,https://fr.wikipedia.org/wiki/Deuxi%C3%A8me_R%C3%A9publique_de_Pologne
U0sKbzbi06EAAAFMPP0fToNC,https://fr.wikipedia.org/wiki/Royaume_de_Hongrie
M20KbzbizFgAAAFMfiJRkrD2,https://fr.wikipedia.org/wiki/Saint-Empire_romain_germanique
zhYKbzbi.U4AAAFMDpsfToSu,https://fr.wikipedia.org/wiki/Maldives
zvUKbzbiolAAAAFMMF5Rkr7Q,https://fr.wikipedia.org/wiki/Premi%C3%A8re_R%C3%A9publique_d%27Autriche
_aIKbzbivSgAAAFMJ4IfToG3,https://fr.wikipedia.org/wiki/Brandebourg-Prusse
V1MKbzbiUYAAAAFNzPNXxjbf,https://fr.wikipedia.org/wiki/Grand-duch%C3%A9_de_Lituanie
yusKbzbiDGwAAAFMGN8fToLy,https://fr.wikipedia.org/wiki/Empire_allemand
yaEKbzbiJYkAAAFMnsMfTo2f,https://fr.wikipedia.org/wiki/R%C3%A9publique_de_Weimar
PkEKbzbit0MAAAFMCVJRkqZQ,https://fr.wikipedia.org/wiki/Duch%C3%A9_de_Saxe-Cobourg_et_Gotha
.7wKbzbi60IAAAFM7zNRkr.f,https://fr.wikipedia.org/wiki/R%C3%A9publique_populaire_de_Pologne
tJMKbzbi.xkAAAFMyTUfTp3h,https://fr.wikipedia.org/wiki/Timor_oriental
tJMKbzbi.xkAAAFMyTUfTp3h,https://fr.wikipedia.org/wiki/Timor_oriental
XTEKbzbiB7cAAAFMahYfToHb,https://fr.wikipedia.org/wiki/Grand-duch%C3%A9_de_Bade
9pcKbzbiiucAAAFMJJ3x3YEs,https://fr.wikipedia.org/wiki/Al-Andalus
8OIKbzbi1kEAAAFM1egfToGi,https://fr.wikipedia.org/wiki/Autriche
8OIKbzbi1kEAAAFM1egfToGi,https://fr.wikipedia.org/wiki/Autriche
x5gKbzbiak4AAAFM6FofToiC,https://fr.wikipedia.org/wiki/Occupation_de_l%27Autriche_apr%C3%A8s_la_Seconde_Guerre_mondiale
aSAKbzbiIU0AAAFM8lYfToMI,https://fr.wikipedia.org/wiki/Cap-Vert
cSoKbzbimD4AAAFMQMIfToUM,https://fr.wikipedia.org/wiki/Isra%C3%ABl
JY8Kbzbi6OEAAAFM1QUfToT4,https://fr.wikipedia.org/wiki/Lettonie
_tMKbzbiQKoAAAFMorNRkq8E,https://fr.wikipedia.org/wiki/Tristan_da_Cunha_(archipel)
iKoKbzbiPNUAAAFMn6gfToKV,https://fr.wikipedia.org/wiki/Canada
PaIKbzbibskAAAFM7tFY_uXA,https://fr.wikipedia.org/wiki/Dynastie_Zand
674KbzbiDIgAAAFMnDkfToJK,https://fr.wikipedia.org/wiki/Iran
66wKbzbiIhQAAAFM6.QfTpsu,https://fr.wikipedia.org/wiki/Sassanides
YcYKbzbiOVgAAAFMjG0fToQe,https://fr.wikipedia.org/wiki/%C3%89tats-Unis
Bi8KbzbiVl0AAAFMuVwVZvUs,https://fr.wikipedia.org/wiki/%C3%8Eles_Vierges
EFEKbzbilaQAAAFMzN3x3YDI,https://fr.wikipedia.org/wiki/Pologne
T9wKbzbiXR4AAAFM28sfToUq,https://fr.wikipedia.org/wiki/Mexique
vbAKbzbiXhAAAAFNCJBXxkTd,https://fr.wikipedia.org/wiki/Perak
phkKbzbi6vMAAAFNJZGx3SSr,https://fr.wikipedia.org/wiki/Kedah
DvEKbzbiLHUAAAFM4r8VZurQ,https://fr.wikipedia.org/wiki/Kelantan
c8oKbzbizCIAAAFMQ0cfToah,https://fr.wikipedia.org/wiki/Grenade_(pays)
c8oKbzbizCIAAAFMQ0cfToah,https://fr.wikipedia.org/wiki/Grenade_(pays)
jnUKbzbilg4AAAFMmlsfToG3,https://fr.wikipedia.org/wiki/Royaume_de_Gr%C3%A8ce
jnUKbzbilg4AAAFMmlsfToG3,https://fr.wikipedia.org/wiki/Royaume_de_Gr%C3%A8ce
jnUKbzbilg4AAAFMmlsfToG3,https://fr.wikipedia.org/wiki/Royaume_de_Gr%C3%A8ce
6ngKbzbiT8kAAAFMgxMfTpGT,https://fr.wikipedia.org/wiki/Gr%C3%A8ce
cFsKbzbipVAAAAFNeWdXxjdz,https://fr.wikipedia.org/wiki/Deuxi%C3%A8me_R%C3%A9publique_hell%C3%A9nique
xMQKbzbig8cAAAFOd23xBYxf,https://fr.wikipedia.org/wiki/Grand-duch%C3%A9_de_Mecklembourg-Schwerin
WV8KbzbikkMAAAFM8dkfTpec,https://fr.wikipedia.org/wiki/Belize
K9gKbzbiaeMAAAFONeDxBYLb,https://fr.wikipedia.org/wiki/Honduras_britannique
_HkKbzbiGEIAAAFMM4AfToHz,https://fr.wikipedia.org/wiki/Royaume_de_Portugal
MtAKbzbin8oAAAFMlU8fTolu,https://fr.wikipedia.org/wiki/Finlande
MtAKbzbin8oAAAFMlU8fTolu,https://fr.wikipedia.org/wiki/Finlande
